,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades,Franchise ID
80,Chicago Bulls,1968.0,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.0,8138.0,0.429,0.738,62.4,18.6,0.0,0.0,0.0,109.5,0.0,Bulls
81,Oklahoma City Thunder,1968.0,23.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.0,0.0,8593.0,0.439,0.719,65.1,24.4,0.0,0.0,0.0,118.7,0.0,Thunder
82,Houston Rockets,1968.0,15.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.0,0.0,8547.0,0.417,0.711,66.1,22.4,0.0,0.0,0.0,112.4,0.0,Rockets
83,Washington Wizards,1969.0,57.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.44,0.0,0.0,8567.0,0.44,0.732,60.5,20.5,0.0,0.0,0.0,116.4,5.0,Wizards
84,Philadelphia 76ers,1969.0,55.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.454,0.0,0.0,8274.0,0.454,0.725,55.0,23.3,0.0,0.0,0.0,118.9,2.0,76ers
85,New York Knicks,1969.0,54.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.459,0.0,0.0,7813.0,0.459,0.736,51.8,25.3,0.0,0.0,0.0,110.8,7.0,Knicks
86,Boston Celtics,1969.0,48.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.431,0.0,0.0,8316.0,0.431,0.729,59.0,23.8,0.0,0.0,0.0,111.0,5.0,Celtics
87,Sacramento Kings,1969.0,41.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.46,0.0,0.0,7742.0,0.46,0.751,55.2,24.2,0.0,0.0,0.0,114.5,3.0,Kings
88,Detroit Pistons,1969.0,32.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.451,0.0,0.0,7997.0,0.451,0.708,54.5,21.4,0.0,0.0,0.0,114.1,2.0,Pistons
89,Milwaukee Bucks,1969.0,27.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.428,0.0,0.0,8258.0,0.428,0.745,57.6,23.0,0.0,0.0,0.0,110.2,2.0,Bucks
